=== Class-Wise Adaptive Fusion Training Log (3-Stage) ===
Epoch 038 [STAGE-1 (Global-Train) | G-LR: 0.000047 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7115 | Train: 100.00% | ★Test: 78.68% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 039 [STAGE-1 (Global-Train) | G-LR: 0.000041 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7105 | Train: 100.00% | ★Test: 77.76% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 040 [STAGE-1 (Global-Train) | G-LR: 0.000034 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7100 | Train: 100.00% | ★Test: 79.04% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 041 [STAGE-1 (Global-Train) | G-LR: 0.000029 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7097 | Train: 100.00% | ★Test: 78.68% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 042 [STAGE-1 (Global-Train) | G-LR: 0.000023 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7096 | Train: 100.00% | ★Test: 78.31% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 043 [STAGE-1 (Global-Train) | G-LR: 0.000019 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7091 | Train: 100.00% | ★Test: 78.31% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 044 [STAGE-1 (Global-Train) | G-LR: 0.000014 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7090 | Train: 100.00% | ★Test: 77.57% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 045 [STAGE-1 (Global-Train) | G-LR: 0.000011 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7089 | Train: 100.00% | ★Test: 77.57% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 046 [STAGE-1 (Global-Train) | G-LR: 0.000007 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7086 | Train: 100.00% | ★Test: 77.57% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 047 [STAGE-1 (Global-Train) | G-LR: 0.000005 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7086 | Train: 100.00% | ★Test: 78.12% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 048 [STAGE-1 (Global-Train) | G-LR: 0.000003 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7084 | Train: 100.00% | ★Test: 78.12% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 049 [STAGE-1 (Global-Train) | G-LR: 0.000001 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7086 | Train: 100.00% | ★Test: 77.57% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 050 [STAGE-1 (Global-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7083 | Train: 100.00% | ★Test: 77.76% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]

🔄 [Stage-1 Transition] Stage-1の最高精度重み (79.04%) をロードしてStage-2へ移行します。

